,Student id,GPA
279,16-423-8543,2.3
280,74-834-2710,2.5
281,70-072-5418,1.9
282,40-909-8229,1.2
283,75-059-8273,1.3
284,77-146-2454,2.7
285,28-323-9145,1.3
286,69-611-3628,2.0
287,43-183-6765,1.6
288,73-737-6670,2.0
289,58-696-0411,3.4
290,28-725-5000,1.4
291,65-357-0949,1.1
292,16-009-3294,2.3
293,94-341-7573,2.7
294,27-502-9989,3.5
295,29-559-2681,2.5
296,09-723-2255,1.7
297,22-126-5721,1.2
298,00-108-2490,3.6
299,74-315-6053,2.9
